age,gender,education,department,job_role,monthly_income,years_at_company,promotions,overtime,performance_rating,attrition
45,Male,Post-Graduate,Sales,Manager,54453,3,0,Yes,2,0
41,Male,Graduate,Finance,Manager,60972,10,1,Yes,1,1
40,Female,Post-Graduate,HR,Lead,54055,5,1,No,2,1
38,Male,Post-Graduate,IT,Manager,59558,6,1,No,1,0
40,Male,Graduate,IT,Lead,75499,7,1,Yes,1,1
48,Female,Post-Graduate,IT,Lead,98127,5,2,No,2,1
38,Male,Post-Graduate,HR,Lead,65231,6,1,Yes,2,0
43,Male,Graduate,IT,Lead,79784,9,1,Yes,2,1
44,Female,Post-Graduate,Finance,Lead,76404,9,2,No,3,1
29,Male,Post-Graduate,IT,Lead,68245,13,1,Yes,2,0
38,Female,Post-Graduate,HR,Lead,50829,5,1,Yes,2,0
47,Female,Post-Graduate,Finance,Lead,71498,8,2,No,3,1
33,Male,Post-Graduate,HR,Manager,47152,9,1,Yes,2,0
40,Female,Post-Graduate,IT,Executive,98317,7,3,Yes,2,1
39,Male,Post-Graduate,IT,Lead,84998,5,2,Yes,2,1
35,Male,Graduate,IT,Lead,81961,8,1,No,2,0
41,Male,Post-Graduate,Finance,Manager,76547,10,2,No,2,1
33,Male,Post-Graduate,HR,Lead,68070,10,1,No,2,0
38,Male,Post-Graduate,IT,Lead,54135,5,1,No,2,0
35,Male,Graduate,HR,Lead,63490,6,1,No,2,1
44,Female,Post-Graduate,IT,Lead,75541,5,2,No,2,0
32,Female,Post-Graduate,IT,Lead,70555,9,2,No,2,0
39,Female,Post-Graduate,HR,Lead,61301,5,1,No,2,0
40,Male,PhD,HR,Manager,51108,6,0,Yes,1,0
38,Female,Post-Graduate,HR,Lead,55812,5,1,Yes,2,0
41,Male,Post-Graduate,IT,Lead,51766,8,1,No,2,1
39,Female,Post-Graduate,IT,Lead,91693,5,2,Yes,2,1
38,Female,Post-Graduate,IT,Lead,52054,6,2,No,3,0
33,Male,Post-Graduate,IT,Manager,36041,6,2,No,2,0
38,Male,Post-Graduate,IT,Lead,82882,8,2,Yes,2,1
42,Male,Post-Graduate,IT,Lead,79252,7,1,No,2,1
39,Female,Post-Graduate,HR,Executive,94566,4,2,Yes,2,1
40,Male,Graduate,IT,Lead,76958,7,1,Yes,2,1
37,Male,Post-Graduate,HR,Manager,43426,5,1,No,2,0
28,Male,Post-Graduate,IT,Manager,54020,10,1,No,2,0
36,Female,Post-Graduate,IT,Lead,67935,5,1,No,2,1
34,Male,Post-Graduate,HR,Manager,46298,7,1,Yes,2,0
43,Female,Post-Graduate,IT,Lead,55705,8,1,No,2,1
45,Female,Post-Graduate,IT,Lead,103486,4,3,Yes,2,1
35,Male,Post-Graduate,HR,Lead,46723,8,2,Yes,2,0
47,Female,Post-Graduate,HR,Lead,37577,8,1,No,2,1
40,Male,Post-Graduate,IT,Lead,90864,7,2,No,2,1
35,Male,Post-Graduate,IT,Manager,66937,8,0,No,2,0
37,Male,Post-Graduate,HR,Lead,63069,7,1,No,2,1
38,Male,Post-Graduate,IT,Manager,108594,5,2,Yes,1,1
36,Female,Post-Graduate,IT,Lead,59283,6,1,No,3,0
44,Male,Post-Graduate,Finance,Manager,77416,9,1,No,2,1
33,Male,Post-Graduate,HR,Manager,60524,9,1,No,2,0
46,Male,Post-Graduate,IT,Lead,69031,8,2,Yes,2,1
45,Female,Post-Graduate,IT,Lead,92932,6,2,Yes,2,1
38,Male,Post-Graduate,HR,Lead,67421,7,1,No,2,0
42,Male,Post-Graduate,HR,Lead,68641,6,1,No,2,1
44,Female,Graduate,HR,Executive,83228,8,2,Yes,2,1
44,Female,Post-Graduate,HR,Lead,64836,5,2,No,2,1
30,Male,Post-Graduate,IT,Lead,62216,9,1,No,2,0
28,Male,Graduate,IT,Lead,91762,4,1,Yes,1,1
41,Male,Post-Graduate,HR,Manager,60928,5,0,Yes,2,0
32,Male,Post-Graduate,HR,Lead,68346,10,1,Yes,2,0
39,Male,PhD,Sales,Manager,45459,5,0,Yes,1,0
43,Male,Post-Graduate,HR,Manager,52376,3,1,No,2,0
31,Female,Post-Graduate,IT,Lead,58459,10,2,No,2,0
41,Male,Post-Graduate,IT,Manager,85633,6,2,No,2,1
51,Female,Post-Graduate,IT,Lead,66650,10,2,No,2,1
40,Male,Graduate,IT,Lead,71232,7,1,No,2,1
27,Male,Post-Graduate,IT,Manager,48101,11,1,No,2,0
44,Female,Post-Graduate,IT,Executive,75595,7,2,No,3,1
38,Male,Graduate,IT,Lead,70195,5,1,No,2,1
44,Male,Post-Graduate,IT,Lead,75864,7,2,No,2,1
29,Male,Post-Graduate,HR,Manager,61592,11,1,Yes,1,0
39,Male,PhD,Sales,Lead,54686,7,1,Yes,2,0
38,Male,Post-Graduate,HR,Lead,72081,7,1,Yes,2,0
40,Female,Post-Graduate,HR,Lead,41324,3,1,Yes,2,0
43,Female,Post-Graduate,HR,Lead,83315,5,2,No,2,1
43,Female,Post-Graduate,IT,Lead,103640,4,2,No,2,1
34,Male,Post-Graduate,IT,Manager,65630,9,0,No,1,0
33,Male,Post-Graduate,IT,Manager,52165,8,1,No,1,0
39,Female,Post-Graduate,Finance,Manager,92037,7,2,No,2,1
34,Male,Post-Graduate,HR,Lead,63750,5,1,Yes,1,1
51,Female,Post-Graduate,HR,Executive,81932,6,2,No,2,1
35,Male,PhD,HR,Lead,42700,7,2,Yes,2,0
38,Male,Post-Graduate,IT,Lead,80365,8,1,No,2,1
46,Female,Post-Graduate,IT,Executive,49495,7,2,No,3,1
36,Male,Post-Graduate,IT,Lead,74053,8,1,No,2,0
39,Female,Post-Graduate,IT,Lead,53818,5,1,No,2,0
37,Male,Post-Graduate,HR,Manager,51428,6,1,Yes,2,0
45,Female,Post-Graduate,HR,Executive,71190,7,1,No,2,1
37,Male,Post-Graduate,HR,Lead,65367,8,1,No,2,0
37,Male,Post-Graduate,IT,Lead,78919,5,1,No,2,1
51,Female,PhD,IT,Lead,88993,8,3,No,2,1
41,Male,Post-Graduate,IT,Lead,81278,5,1,No,2,1
38,Female,Post-Graduate,HR,Lead,64499,8,2,Yes,3,0
45,Male,Graduate,HR,Executive,86334,6,2,Yes,1,1
36,Female,Post-Graduate,HR,Lead,53832,6,2,No,2,0
34,Male,Post-Graduate,HR,Lead,69193,8,1,No,2,0
42,Male,Post-Graduate,IT,Lead,78762,8,2,No,2,1
35,Male,Post-Graduate,HR,Manager,57518,8,1,Yes,2,0
40,Male,Post-Graduate,IT,Manager,56559,4,0,No,2,0
40,Male,Post-Graduate,HR,Manager,56315,5,1,Yes,2,0
36,Male,Post-Graduate,HR,Lead,55806,7,2,No,2,0
37,Male,Post-Graduate,IT,Manager,52309,5,1,No,2,0
30,Male,Post-Graduate,IT,Lead,51474,11,2,No,2,0
35,Male,Post-Graduate,HR,Lead,70028,9,1,No,2,0
38,Male,Post-Graduate,IT,Manager,82449,6,1,No,2,1
43,Male,Post-Graduate,HR,Manager,67036,5,0,Yes,2,0
40,Male,Post-Graduate,HR,Manager,63536,6,1,No,1,0
27,Male,Post-Graduate,IT,Manager,38001,11,2,No,2,0
34,Male,Post-Graduate,HR,Lead,76158,11,1,Yes,2,0
39,Male,Post-Graduate,IT,Manager,79121,9,2,Yes,1,1
40,Male,Post-Graduate,HR,Lead,73964,6,0,No,2,0
47,Male,Post-Graduate,Finance,Lead,89755,9,2,Yes,2,1
41,Female,Post-Graduate,IT,Lead,52681,7,1,No,3,1
30,Male,Post-Graduate,IT,Lead,66808,11,2,No,2,0
33,Male,Post-Graduate,IT,Manager,60630,8,1,No,2,0
39,Male,Post-Graduate,IT,Lead,71581,6,1,No,2,0
36,Male,Graduate,Finance,Lead,63638,10,1,No,2,1
42,Male,Post-Graduate,IT,Lead,91146,7,2,No,2,1
37,Male,Post-Graduate,Finance,Lead,93864,8,1,No,2,0
47,Female,Post-Graduate,IT,Lead,54281,9,1,No,2,1
37,Male,Post-Graduate,HR,Lead,68857,7,1,Yes,2,0
43,Male,Graduate,HR,Lead,63784,7,1,Yes,1,1
39,Male,Post-Graduate,IT,Lead,65261,6,1,No,2,1
41,Female,Post-Graduate,HR,Lead,47684,4,2,Yes,3,0
47,Male,Post-Graduate,Finance,Manager,72085,9,1,No,2,1
45,Male,Post-Graduate,IT,Lead,73121,11,2,Yes,2,1
39,Female,Post-Graduate,HR,Executive,66139,6,2,Yes,2,1
44,Female,Post-Graduate,HR,Lead,74615,4,1,No,2,0
40,Female,Post-Graduate,HR,Lead,66387,6,2,No,2,1
46,Male,Post-Graduate,IT,Lead,65671,6,2,Yes,2,1
34,Female,Post-Graduate,HR,Lead,49498,7,2,No,3,0
42,Female,Post-Graduate,IT,Lead,73897,8,1,No,2,1
40,Male,Post-Graduate,HR,Lead,68365,5,1,No,2,0
33,Male,Post-Graduate,Finance,Manager,58353,7,1,No,1,1
35,Male,Post-Graduate,IT,Manager,71143,8,1,Yes,2,0
37,Male,Post-Graduate,IT,Manager,61267,7,0,No,1,0
47,Male,Post-Graduate,Finance,Lead,71039,11,2,No,2,1
46,Female,PhD,HR,Executive,80148,4,2,No,2,1
51,Female,Post-Graduate,HR,Executive,67931,6,2,No,2,0
44,Male,Post-Graduate,IT,Lead,69714,6,1,Yes,1,1
40,Male,Graduate,IT,Lead,88629,8,2,No,2,1
48,Female,Post-Graduate,IT,Lead,89811,7,3,Yes,2,1
41,Female,Post-Graduate,HR,Manager,47847,3,1,No,2,0
40,Male,Post-Graduate,HR,Manager,65895,6,0,Yes,2,0
45,Male,PhD,Sales,Manager,43948,2,0,Yes,1,0
33,Male,Post-Graduate,HR,Lead,49365,8,2,Yes,3,0
46,Male,Post-Graduate,Finance,Manager,72466,10,2,No,2,1
30,Male,Post-Graduate,IT,Lead,61551,9,1,No,2,0
43,Female,Post-Graduate,IT,Lead,103127,6,2,Yes,2,1
38,Female,Post-Graduate,HR,Executive,81563,5,2,Yes,2,1
38,Male,Graduate,Finance,Manager,81481,8,1,Yes,2,1
39,Female,Post-Graduate,HR,Lead,82176,6,2,No,2,1
38,Male,Post-Graduate,HR,Lead,79722,8,1,Yes,3,0
39,Male,Post-Graduate,IT,Manager,78485,5,2,No,2,1
35,Male,Post-Graduate,HR,Lead,67062,9,1,Yes,2,0
42,Female,Post-Graduate,IT,Lead,82391,7,2,No,2,1
40,Male,Post-Graduate,IT,Manager,47132,8,0,No,2,0
40,Male,Graduate,Finance,Lead,90546,9,2,Yes,2,1
33,Male,Post-Graduate,HR,Manager,43221,9,1,Yes,2,0
39,Male,Post-Graduate,IT,Lead,69596,6,1,No,2,0
37,Male,Post-Graduate,IT,Lead,75323,7,1,No,2,1
48,Male,Post-Graduate,IT,Lead,67207,8,2,No,2,1
39,Male,Post-Graduate,Finance,Manager,85582,8,2,Yes,2,1
34,Male,Post-Graduate,IT,Manager,61338,8,1,Yes,2,0
48,Female,Post-Graduate,IT,Lead,65727,7,2,No,2,1
35,Male,Graduate,IT,Lead,89645,8,1,Yes,2,1
40,Male,PhD,Sales,Manager,68018,8,0,Yes,1,0
42,Male,Post-Graduate,IT,Lead,70006,8,1,Yes,2,1
39,Male,Post-Graduate,HR,Manager,50753,6,1,No,2,0
37,Female,Post-Graduate,IT,Lead,72012,5,1,No,3,0
35,Male,Post-Graduate,IT,Manager,67037,8,1,No,1,0
35,Male,Post-Graduate,HR,Lead,62218,8,1,Yes,2,0
41,Male,Post-Graduate,Finance,Manager,76978,8,1,No,2,1
34,Male,Post-Graduate,HR,Manager,55868,8,1,Yes,2,0
37,Male,Post-Graduate,IT,Lead,79560,8,1,No,2,0
44,Female,Post-Graduate,HR,Lead,61319,3,1,No,2,0
37,Male,Graduate,HR,Executive,72821,7,1,Yes,2,0
34,Male,PhD,Sales,Lead,41598,8,2,Yes,2,0
46,Male,Post-Graduate,IT,Lead,97264,6,2,Yes,2,1
36,Male,Post-Graduate,HR,Lead,63912,8,1,No,2,0
40,Male,Post-Graduate,IT,Manager,61013,5,1,No,1,0
33,Male,Post-Graduate,IT,Lead,59394,9,2,No,2,0
36,Male,Post-Graduate,IT,Lead,79232,4,1,Yes,2,1
43,Male,Post-Graduate,IT,Lead,51735,10,1,No,2,1
40,Male,Post-Graduate,IT,Lead,86067,6,1,No,2,1
43,Male,Post-Graduate,IT,Lead,73359,8,2,No,2,1
42,Male,Graduate,Finance,Lead,93005,10,2,Yes,2,1
46,Male,Graduate,IT,Lead,82635,7,1,Yes,2,1
34,Male,Post-Graduate,IT,Manager,62146,8,0,No,1,0
52,Female,Post-Graduate,IT,Lead,65181,8,2,No,3,1
42,Female,Post-Graduate,IT,Lead,79511,3,1,No,2,0
41,Male,Graduate,HR,Executive,83018,6,2,Yes,2,1
40,Female,Post-Graduate,IT,Lead,99622,4,2,No,2,1
39,Male,Post-Graduate,IT,Lead,77933,6,1,Yes,3,0
35,Male,Post-Graduate,HR,Manager,54773,8,1,Yes,2,0
38,Female,Post-Graduate,HR,Lead,43690,6,1,Yes,3,0
48,Female,Post-Graduate,IT,Executive,78865,6,3,No,3,1
39,Male,Post-Graduate,IT,Lead,78601,6,2,No,2,1
45,Male,Post-Graduate,Finance,Manager,95506,8,2,Yes,2,1
47,Female,Post-Graduate,HR,Lead,64549,5,2,No,2,1
42,Female,Post-Graduate,IT,Lead,90231,2,2,No,2,1
43,Male,Post-Graduate,HR,Lead,67829,5,1,Yes,3,0
40,Male,Post-Graduate,HR,Lead,82731,7,2,Yes,2,1
42,Male,Graduate,IT,Lead,51499,10,1,No,2,1
37,Male,Post-Graduate,IT,Lead,78749,9,2,No,2,1
36,Female,Post-Graduate,HR,Executive,76579,7,2,Yes,3,0
37,Male,Graduate,IT,Lead,72346,7,1,Yes,2,1
32,Male,Post-Graduate,HR,Lead,58747,9,1,No,2,0
40,Male,Graduate,Finance,Manager,84451,8,1,No,2,1
37,Male,Post-Graduate,HR,Lead,51918,6,1,Yes,2,0
41,Male,Graduate,IT,Lead,74370,6,1,No,2,0
41,Female,Post-Graduate,IT,Lead,62635,7,2,No,2,1
38,Male,Post-Graduate,HR,Manager,57006,6,1,Yes,2,0
38,Female,Graduate,IT,Lead,72182,7,1,No,3,1
42,Male,Graduate,IT,Lead,77299,4,1,Yes,3,0
40,Male,Post-Graduate,HR,Manager,61567,7,0,Yes,1,0
42,Male,Graduate,IT,Lead,62561,9,1,No,2,1
42,Female,Post-Graduate,HR,Lead,95420,4,2,Yes,1,1
35,Male,Post-Graduate,IT,Manager,34785,5,1,No,1,0
40,Male,Post-Graduate,HR,Manager,60253,5,1,No,2,0
39,Male,Graduate,IT,Lead,79837,6,2,Yes,2,1
42,Male,Graduate,Finance,Lead,77791,10,2,No,2,1
35,Male,Post-Graduate,HR,Lead,51505,7,1,Yes,2,0
38,Female,Post-Graduate,Finance,Manager,69750,8,1,No,3,1
39,Female,Post-Graduate,HR,Lead,69465,7,1,No,2,0
42,Male,Post-Graduate,HR,Manager,58040,4,1,No,2,0
41,Female,Post-Graduate,IT,Lead,66475,4,1,No,2,1
48,Male,Post-Graduate,IT,Lead,66747,10,2,Yes,2,1
42,Male,Graduate,IT,Lead,52300,11,2,No,2,1
44,Female,Post-Graduate,IT,Lead,76485,7,2,No,2,1
39,Male,Post-Graduate,IT,Manager,55959,5,1,No,2,0
48,Male,Post-Graduate,HR,Lead,76052,7,2,Yes,1,1
30,Male,Graduate,Finance,Manager,65672,9,1,No,2,0
41,Female,Post-Graduate,HR,Lead,74496,4,1,No,2,0
40,Male,Post-Graduate,Sales,Lead,68208,6,1,Yes,2,0
41,Male,Post-Graduate,HR,Lead,66135,6,1,Yes,2,0
38,Male,Post-Graduate,HR,Manager,58476,6,0,No,2,0
37,Male,Post-Graduate,IT,Lead,63324,7,1,No,2,0
42,Male,Post-Graduate,IT,Lead,73306,7,1,No,2,1
36,Female,Graduate,IT,Lead,91871,5,2,No,2,1
36,Male,Post-Graduate,HR,Lead,41177,6,2,Yes,3,0
35,Female,Graduate,IT,Lead,61635,6,1,No,3,1
42,Female,Post-Graduate,IT,Lead,109124,7,3,Yes,2,1
42,Female,Post-Graduate,HR,Lead,56769,4,1,Yes,3,0
33,Male,Post-Graduate,HR,Lead,53714,8,1,Yes,2,0
35,Male,PhD,Sales,Lead,66551,10,1,Yes,2,0
39,Male,Graduate,IT,Lead,76701,8,1,No,2,1
36,Male,Post-Graduate,IT,Manager,74580,8,0,No,1,0
32,Male,PhD,HR,Manager,38786,8,2,No,2,0
40,Male,Graduate,IT,Lead,70662,10,1,No,2,1
41,Male,Post-Graduate,IT,Manager,72956,8,1,Yes,2,1
41,Female,Post-Graduate,HR,Manager,46302,4,1,No,3,0
48,Female,Post-Graduate,Finance,Lead,73274,11,2,No,3,1
46,Female,Post-Graduate,IT,Lead,104122,6,3,Yes,2,1
41,Female,Post-Graduate,IT,Lead,80348,7,2,Yes,2,1
44,Male,Post-Graduate,IT,Lead,94869,6,2,Yes,1,1
44,Female,Post-Graduate,HR,Lead,42390,3,1,Yes,3,0
45,Female,Post-Graduate,HR,Lead,55134,4,1,Yes,3,0
42,Female,Post-Graduate,HR,Lead,82891,5,2,No,2,1
43,Male,PhD,Sales,Manager,45216,2,0,Yes,2,0
35,Male,PhD,HR,Lead,54200,8,1,Yes,2,0
40,Male,Graduate,IT,Lead,77535,7,1,Yes,2,1
34,Male,Post-Graduate,Finance,Lead,87655,9,1,No,2,0
45,Female,Post-Graduate,IT,Lead,73461,7,2,No,2,0
45,Female,Post-Graduate,IT,Executive,40637,10,1,No,2,1
42,Male,Graduate,IT,Lead,67500,7,1,No,2,1
38,Male,Post-Graduate,HR,Manager,45300,5,1,Yes,2,0
40,Male,Post-Graduate,IT,Lead,89305,3,2,Yes,1,1
35,Female,Graduate,HR,Executive,83599,5,2,No,2,1
36,Female,Post-Graduate,HR,Lead,47873,6,2,No,3,0
40,Male,Post-Graduate,IT,Lead,59383,9,1,No,2,1
32,Male,Post-Graduate,HR,Manager,40411,9,2,Yes,2,0
40,Male,Post-Graduate,HR,Lead,87942,6,1,No,2,0
35,Male,Post-Graduate,IT,Manager,50244,6,1,No,2,0
38,Female,Post-Graduate,IT,Lead,86299,5,2,No,3,1
40,Female,Post-Graduate,Finance,Lead,79913,7,2,No,2,1
32,Male,Post-Graduate,HR,Lead,70990,10,2,Yes,2,0
41,Male,Post-Graduate,HR,Lead,66913,5,1,No,2,0
48,Female,PhD,IT,Lead,61292,9,2,No,2,1
37,Male,Post-Graduate,IT,Lead,77133,7,1,No,3,0
39,Male,Post-Graduate,HR,Manager,51073,6,1,Yes,2,0
46,Female,Post-Graduate,IT,Executive,71283,5,2,No,3,1
47,Female,Post-Graduate,IT,Lead,62949,5,1,No,2,1
29,Male,Graduate,IT,Lead,86785,6,1,Yes,2,1
45,Female,Post-Graduate,IT,Lead,91671,5,2,Yes,2,1
31,Male,Post-Graduate,IT,Manager,78006,12,1,Yes,1,0
32,Male,Post-Graduate,HR,Manager,51102,9,2,Yes,2,0
39,Male,Post-Graduate,IT,Lead,67426,9,2,Yes,2,1
34,Male,Post-Graduate,IT,Lead,58291,8,1,No,2,0
41,Male,Post-Graduate,IT,Lead,75531,6,2,Yes,1,1
33,Male,Post-Graduate,HR,Manager,50637,8,1,Yes,2,0
36,Male,Post-Graduate,HR,Lead,76795,9,1,Yes,2,0
43,Female,Post-Graduate,IT,Lead,71761,5,1,No,3,1
41,Male,Post-Graduate,HR,Manager,57329,4,1,Yes,2,0
31,Male,Post-Graduate,IT,Manager,61738,10,1,No,1,0
37,Male,Graduate,IT,Lead,81855,7,1,No,2,1
27,Male,Post-Graduate,IT,Manager,51210,12,1,No,1,0
46,Female,Post-Graduate,HR,Executive,66799,7,2,Yes,2,1
45,Male,Post-Graduate,Finance,Manager,68682,9,1,No,2,1
36,Male,Post-Graduate,HR,Lead,63720,7,1,Yes,2,0
46,Male,Graduate,Finance,Lead,70203,10,1,Yes,2,1
44,Male,Post-Graduate,IT,Lead,90384,8,2,Yes,1,1
42,Male,Graduate,Finance,Lead,80684,8,1,No,3,1
35,Male,Post-Graduate,HR,Lead,57146,8,2,Yes,2,1
36,Male,PhD,HR,Manager,55751,9,1,No,1,0
45,Male,Post-Graduate,IT,Lead,88579,8,2,Yes,2,1
38,Male,Post-Graduate,HR,Manager,50724,7,0,No,1,0
31,Male,Post-Graduate,IT,Lead,80690,10,1,No,2,0
47,Female,Post-Graduate,IT,Lead,90951,5,2,Yes,2,1
42,Female,Post-Graduate,HR,Lead,75536,5,1,No,3,0
35,Male,Post-Graduate,HR,Manager,47814,7,1,No,2,0
36,Male,Post-Graduate,HR,Lead,76234,9,1,Yes,2,0
40,Female,Post-Graduate,IT,Lead,69846,6,1,No,2,0
38,Male,Post-Graduate,IT,Lead,60702,6,1,No,2,0
38,Male,PhD,HR,Manager,40803,5,1,No,1,0
41,Male,Post-Graduate,IT,Lead,76634,9,1,No,2,1
37,Male,Graduate,Finance,Manager,67402,6,0,No,2,0
32,Male,Post-Graduate,IT,Manager,56547,8,1,No,2,0
43,Female,Post-Graduate,HR,Lead,66854,5,1,No,2,1
43,Female,Post-Graduate,HR,Lead,57805,3,1,Yes,2,1
43,Male,Post-Graduate,IT,Lead,110839,6,2,Yes,2,1
38,Male,Post-Graduate,IT,Manager,48346,6,0,No,2,0
39,Male,Graduate,HR,Lead,77023,6,2,Yes,1,1
37,Male,Post-Graduate,IT,Manager,75763,7,0,No,1,0
37,Female,Post-Graduate,IT,Lead,72544,6,2,No,2,1
41,Male,PhD,Sales,Lead,47466,5,1,Yes,2,0
46,Male,Post-Graduate,IT,Lead,63887,9,1,No,2,1
35,Male,Post-Graduate,HR,Lead,49217,7,2,Yes,2,0
33,Male,Post-Graduate,IT,Manager,56400,9,1,No,2,0
39,Female,Post-Graduate,HR,Manager,36894,4,1,No,2,0
39,Male,Post-Graduate,HR,Manager,69226,7,0,Yes,1,0
37,Male,Post-Graduate,IT,Manager,61293,7,1,No,2,0
47,Female,Post-Graduate,IT,Lead,55455,9,2,No,2,1
38,Male,Graduate,IT,Lead,65034,5,1,No,2,1
37,Male,Post-Graduate,HR,Lead,70634,7,2,Yes,3,0
44,Male,Post-Graduate,IT,Lead,75503,9,2,Yes,2,1
35,Male,Post-Graduate,HR,Manager,62550,8,1,Yes,2,0
46,Female,Post-Graduate,Sales,Executive,79441,3,3,No,2,1
35,Female,Post-Graduate,HR,Lead,72378,9,2,Yes,3,0
38,Male,Post-Graduate,HR,Lead,65244,7,1,Yes,2,0
36,Male,Post-Graduate,IT,Manager,61907,8,1,No,1,0
44,Male,Post-Graduate,HR,Lead,70159,6,2,Yes,1,1
39,Male,Graduate,IT,Lead,83121,7,1,No,3,1
44,Male,Post-Graduate,IT,Lead,79072,7,2,Yes,2,1
43,Male,Graduate,IT,Lead,69989,8,2,Yes,2,1
43,Male,Post-Graduate,HR,Manager,73484,5,0,Yes,1,0
33,Male,Post-Graduate,IT,Lead,66922,9,2,No,2,0
35,Male,Post-Graduate,IT,Lead,90225,9,1,No,2,0
43,Female,Post-Graduate,HR,Lead,54226,2,1,No,2,0
38,Male,Post-Graduate,IT,Manager,68913,6,1,Yes,2,0
35,Male,Graduate,Finance,Manager,60557,6,1,No,2,0
38,Male,Post-Graduate,HR,Manager,58236,5,1,Yes,2,1
44,Male,Post-Graduate,IT,Lead,61510,9,2,Yes,1,1
42,Female,Post-Graduate,HR,Executive,65886,4,1,No,2,1
40,Male,Post-Graduate,IT,Lead,68243,6,1,No,2,1
42,Female,Post-Graduate,IT,Lead,75525,6,2,No,3,1
39,Male,Graduate,Finance,Lead,95227,9,2,Yes,2,1
38,Male,Post-Graduate,IT,Manager,65962,6,0,No,1,0
41,Male,Post-Graduate,HR,Lead,82941,8,0,No,1,0
36,Male,Graduate,IT,Lead,71185,7,1,No,2,0
38,Male,Post-Graduate,IT,Lead,68294,8,1,No,2,1
39,Male,PhD,Sales,Lead,57805,6,1,Yes,2,0
37,Male,Post-Graduate,HR,Manager,58684,8,1,No,2,0
41,Male,Post-Graduate,Finance,Lead,68147,10,2,No,2,1
39,Female,Post-Graduate,HR,Lead,79267,6,2,No,2,1
45,Female,Post-Graduate,IT,Lead,69354,6,2,No,2,1
48,Female,Post-Graduate,IT,Lead,71861,7,2,No,2,1
34,Male,Post-Graduate,IT,Lead,78273,9,1,No,2,1
33,Male,Post-Graduate,HR,Manager,57485,8,0,Yes,2,0
40,Female,Post-Graduate,Finance,Lead,112042,8,2,No,3,1
32,Male,Post-Graduate,IT,Manager,45063,7,1,No,2,0
47,Female,Post-Graduate,HR,Executive,61144,6,2,No,2,1
36,Male,Post-Graduate,IT,Manager,63095,7,0,No,2,0
37,Male,Post-Graduate,HR,Lead,62400,8,1,Yes,2,0
35,Male,Post-Graduate,HR,Manager,54616,7,0,Yes,1,0
37,Male,Post-Graduate,IT,Lead,79749,5,1,Yes,1,1
41,Female,Post-Graduate,IT,Lead,94252,6,2,No,2,1
